,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
0,211507896,04/11/2021 12:00:00 AM,11/07/2020 12:00:00 AM,845,15,N Hollywood,1502,2,354,THEFT OF IDENTITY,0377,31,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7800    BEEMAN                       AV,,34.2124,-118.4092
1,201516622,10/21/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1845,15,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203
2,240913563,12/10/2024 12:00:00 AM,10/30/2020 12:00:00 AM,1240,9,Van Nuys,933,2,354,THEFT OF IDENTITY,0377,30,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,14600    SYLVAN                       ST,,34.1847,-118.4509
3,210704711,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1310,7,Wilshire,782,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,47,F,A,101.0,STREET,,,IC,Invest Cont,331.0,,,,6000    COMEY                        AV,,34.0339,-118.3747
4,201418201,10/03/2020 12:00:00 AM,09/29/2020 12:00:00 AM,1830,14,Pacific,1454,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344 1606 2032,63,M,H,103.0,ALLEY,,,IC,Invest Cont,420.0,,,,4700    LA VILLA MARINA,,33.9813,-118.435
5,240412063,12/11/2024 12:00:00 AM,11/11/2020 12:00:00 AM,1210,4,Hollenbeck,429,2,354,THEFT OF IDENTITY,0100,35,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,5300    CRONUS                       ST,,34.083,-118.1678
6,240317069,12/16/2024 12:00:00 AM,04/16/2020 12:00:00 AM,1350,3,Southwest,396,2,354,THEFT OF IDENTITY,0100 0928 1822,21,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,900 W  40TH                         PL,,34.01,-118.29
7,201115217,10/29/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1400,11,Northeast,1133,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0448 0304 1822 0500 0522,14,F,H,121.0,YARD (RESIDENTIAL/BUSINESS),500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,812.0,860.0,,,3000    ACRESITE                     ST,,34.1107,-118.2589
8,241708596,04/20/2024 12:00:00 AM,03/02/2020 12:00:00 AM,1200,17,Devonshire,1729,2,354,THEFT OF IDENTITY,1501,43,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,17700    SIMONDS                      ST,,34.2763,-118.521
9,242113813,12/18/2024 12:00:00 AM,09/01/2020 12:00:00 AM,900,21,Topanga,2196,2,354,THEFT OF IDENTITY,0930,57,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,20900    MARMORA                      ST,,34.1493,-118.5886
10,240605846,02/06/2024 12:00:00 AM,06/20/2020 12:00:00 AM,1,6,Hollywood,657,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0500 1251 0913 0522 0551 1259 0558,13,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812.0,860.0,,,1000 N  RIDGEWOOD                    PL,,34.0878,-118.3146
11,242014110,12/18/2024 12:00:00 AM,11/17/2020 12:00:00 AM,1320,20,Olympic,2023,2,354,THEFT OF IDENTITY,0100 0928 1822,34,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,400 S  ARDMORE                      AV,,34.0672,-118.3016
12,202113531,09/06/2020 12:00:00 AM,09/05/2020 12:00:00 AM,1500,21,Topanga,2149,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,AA,Adult Arrest,510.0,,,,19700    VANOWEN                      ST,,34.1938,-118.5631
13,201710725,07/03/2020 12:00:00 AM,07/02/2020 12:00:00 AM,500,17,Devonshire,1762,1,310,BURGLARY,0344,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,9500    COZYCROFT                    AV,,34.2427,-118.582
14,201406733,02/16/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2300,14,Pacific,1406,1,330,BURGLARY FROM VEHICLE,0344 1300,32,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,3300    MOTOR                        AV,,34.024,-118.409
15,201405970,02/01/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1658,14,Pacific,1494,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,39,M,O,212.0,TRANSPORTATION FACILITY (AIRPORT),,,AO,Adult Other,440.0,,,,300    WORLD                        WY,,33.944,-118.4073
16,201820230,11/08/2020 12:00:00 AM,11/08/2020 12:00:00 AM,730,18,Southeast,1844,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1300 0416 1814 0446 1310 0400,26,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,108TH                        ST,AVALON                       AV,33.9383,-118.2652
17,201707577,03/20/2020 12:00:00 AM,03/20/2020 12:00:00 AM,1320,17,Devonshire,1752,2,624,BATTERY - SIMPLE ASSAULT,0202 1300 1822 0356,21,F,W,210.0,RESTAURANT/FAST FOOD,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,20900    DEVONSHIRE                   ST,,34.2572,-118.5885
18,201514848,09/04/2020 12:00:00 AM,08/17/2020 12:00:00 AM,400,15,N Hollywood,1549,1,310,BURGLARY,1605 0344 1420,0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,310.0,,,,11100    CUMPSTON                     ST,,34.17,-118.3722
19,201405023,01/19/2020 12:00:00 AM,01/19/2020 12:00:00 AM,1850,14,Pacific,1435,1,310,BURGLARY,1609 0344,37,M,A,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,3500    PURDUE                       AV,,34.0158,-118.4258
20,211306997,03/09/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1800,13,Newton,1313,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1300 1309,37,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,700 E  18TH                         ST,,34.0283,-118.2562
21,201405778,01/27/2020 12:00:00 AM,01/20/2020 12:00:00 AM,1540,14,Pacific,1494,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,34,M,W,212.0,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,440.0,,,,600    WORLD                        WY,,33.943,-118.4035
22,202005291,01/29/2020 12:00:00 AM,01/29/2020 12:00:00 AM,545,20,Olympic,2038,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 2032 0344,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,3100    WILSHIRE                     BL,,34.0618,-118.2891
23,201715737,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,1200,17,Devonshire,1777,1,310,BURGLARY,0344 1202 0352,69,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,9700    VALJEAN                      AV,,34.2467,-118.4872
24,201608553,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1730,16,Foothill,1622,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0421 1822,14,M,H,109.0,PARK/PLAYGROUND,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AA,Adult Arrest,230.0,,,,10900    HADDON                       AV,,34.2685,-118.4364
25,202006163,02/14/2020 12:00:00 AM,02/11/2020 12:00:00 AM,1600,20,Olympic,2033,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307 1822,24,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,3700    WILSHIRE                     BL,,34.0617,-118.3066
26,202009677,05/13/2020 12:00:00 AM,05/13/2020 12:00:00 AM,900,20,Olympic,2042,1,520,VEHICLE - ATTEMPT STOLEN,1822 1607 0358,36,M,H,101.0,STREET,,,IC,Invest Cont,520.0,,,,900 S  WILTON                       PL,,34.0559,-118.3142
